day,gender,age_range,energy_level,rpe
1,male,15-35,8.4,7.7
1,male,36-55,7.0,6.9
1,male,56-75,5.9,6.0
1,female,15-35,5.9,4.6
1,female,36-55,5.0,4.0
1,female,56-75,4.9,5.2
2,male,15-35,8.1,7.8
2,male,36-55,7.2,7.0
2,male,56-75,5.7,5.9
2,female,15-35,6.0,4.7
2,female,36-55,5.3,4.4
2,female,56-75,5.0,5.1
3,male,15-35,8.5,7.8
3,male,36-55,6.9,6.8
3,male,56-75,5.9,5.9
3,female,15-35,6.2,5.1
3,female,36-55,5.4,4.6
3,female,56-75,5.1,5.3
4,male,15-35,8.4,7.9
4,male,36-55,7.2,7.0
4,male,56-75,5.9,5.7
4,female,15-35,6.1,5.0
4,female,36-55,5.3,4.4
4,female,56-75,5.0,5.2
5,male,15-35,8.4,7.8
5,male,36-55,7.0,6.9
5,male,56-75,5.7,6.1
5,female,15-35,6.4,5.3
5,female,36-55,5.5,4.7
5,female,56-75,5.0,5.2
6,male,15-35,8.5,8.0
6,male,36-55,7.1,7.1
6,male,56-75,5.9,6.0
6,female,15-35,6.7,6.1
6,female,36-55,6.1,5.5
6,female,56-75,5.1,5.5
7,male,15-35,8.5,7.8
7,male,36-55,7.2,7.0
7,male,56-75,6.0,5.9
7,female,15-35,7.0,6.3
7,female,36-55,6.4,5.7
7,female,56-75,5.2,5.5
8,male,15-35,8.3,7.8
8,male,36-55,7.3,7.0
8,male,56-75,5.6,5.7
8,female,15-35,7.2,6.7
8,female,36-55,6.8,6.0
8,female,56-75,5.0,5.2
9,male,15-35,8.5,7.9
9,male,36-55,7.3,7.1
9,male,56-75,5.6,6.0
9,female,15-35,7.7,6.9
9,female,36-55,6.8,6.3
9,female,56-75,5.0,5.3
10,male,15-35,8.3,8.1
10,male,36-55,7.3,6.9
10,male,56-75,5.8,5.8
10,female,15-35,8.0,7.2
10,female,36-55,7.1,6.5
10,female,56-75,5.2,5.2
11,male,15-35,8.4,7.9
11,male,36-55,7.2,7.0
11,male,56-75,5.6,5.8
11,female,15-35,7.9,7.4
11,female,36-55,7.6,6.8
11,female,56-75,5.1,5.1
12,male,15-35,8.5,8.1
12,male,36-55,6.9,7.0
12,male,56-75,5.6,6.0
12,female,15-35,8.5,7.3
12,female,36-55,7.6,6.9
12,female,56-75,5.0,5.4
13,male,15-35,8.3,7.8
13,male,36-55,7.1,7.1
13,male,56-75,5.7,5.8
13,female,15-35,8.8,7.7
13,female,36-55,7.9,7.0
13,female,56-75,5.0,5.2
14,male,15-35,8.2,7.9
14,male,36-55,7.0,6.9
14,male,56-75,5.6,6.0
14,female,15-35,8.6,7.9
14,female,36-55,8.1,6.9
14,female,56-75,5.0,5.3
15,male,15-35,8.2,7.8
15,male,36-55,7.3,7.0
15,male,56-75,5.8,6.0
15,female,15-35,8.9,7.7
15,female,36-55,7.9,7.2
15,female,56-75,5.0,5.2
16,male,15-35,8.4,8.0
16,male,36-55,7.3,6.8
16,male,56-75,5.8,5.8
16,female,15-35,8.8,7.6
16,female,36-55,7.9,7.1
16,female,56-75,5.0,5.2
17,male,15-35,8.2,8.1
17,male,36-55,7.1,7.1
17,male,56-75,5.8,5.7
17,female,15-35,7.8,7.0
17,female,36-55,7.1,6.5
17,female,56-75,5.1,5.1
18,male,15-35,8.3,7.8
18,male,36-55,7.1,6.8
18,male,56-75,5.8,6.1
18,female,15-35,7.4,6.9
18,female,36-55,6.8,6.1
18,female,56-75,5.1,5.4
19,male,15-35,8.3,8.0
19,male,36-55,7.0,6.9
19,male,56-75,6.0,5.9
19,female,15-35,7.4,6.7
19,female,36-55,6.5,6.1
19,female,56-75,4.9,5.3
20,male,15-35,8.2,8.1
20,male,36-55,6.9,6.9
20,male,56-75,5.8,6.0
20,female,15-35,7.1,6.4
20,female,36-55,6.7,5.8
20,female,56-75,4.9,5.2
21,male,15-35,8.3,7.9
21,male,36-55,7.1,7.2
21,male,56-75,5.7,6.0
21,female,15-35,6.9,6.4
21,female,36-55,6.4,5.7
21,female,56-75,4.8,5.3
22,male,15-35,8.1,7.9
22,male,36-55,7.3,7.2
22,male,56-75,5.6,5.8
22,female,15-35,6.8,6.5
22,female,36-55,6.4,5.8
22,female,56-75,4.8,5.0
23,male,15-35,8.4,8.0
23,male,36-55,7.1,7.2
23,male,56-75,5.9,5.7
23,female,15-35,6.9,6.1
23,female,36-55,6.1,5.7
23,female,56-75,4.7,5.0
24,male,15-35,8.1,7.9
24,male,36-55,7.0,7.0
24,male,56-75,5.9,5.8
24,female,15-35,6.7,5.9
24,female,36-55,5.9,5.6
24,female,56-75,4.9,5.0
25,male,15-35,8.3,7.8
25,male,36-55,6.9,7.1
25,male,56-75,5.9,5.8
25,female,15-35,6.3,5.8
25,female,36-55,5.5,5.0
25,female,56-75,4.6,5.3
26,male,15-35,8.5,7.9
26,male,36-55,7.2,7.0
26,male,56-75,5.7,5.8
26,female,15-35,5.8,5.6
26,female,36-55,5.3,5.0
26,female,56-75,5.0,5.0
27,male,15-35,8.2,7.7
27,male,36-55,7.2,7.2
27,male,56-75,5.8,5.9
27,female,15-35,5.4,5.4
27,female,36-55,5.0,4.8
27,female,56-75,5.0,5.3
28,male,15-35,8.1,8.0
28,male,36-55,7.0,7.2
28,male,56-75,5.9,6.0
28,female,15-35,5.3,4.8
28,female,36-55,4.6,4.2
28,female,56-75,5.0,5.2
29,male,15-35,8.2,8.0
29,male,36-55,7.1,6.9
29,male,56-75,5.9,5.8
29,female,15-35,5.6,4.6
29,female,36-55,5.0,4.3
29,female,56-75,5.1,5.0
30,male,15-35,8.4,7.9
30,male,36-55,7.3,7.0
30,male,56-75,6.0,5.7
30,female,15-35,6.1,4.8
30,female,36-55,5.4,4.2
30,female,56-75,4.8,5.1
